Nom contact,Entreprise,Pays,Secteur,Nombre employes,Type profil,Source,Niveau usage beta,Douleur principale,Temps perdu par mois,Statut commercial,Dernier contact,Prochaine relance,Canal principal,Objection principale,Offre envoyee,Probabilite closing,Temoignage disponible,Notes
Contact Fictif 1,Exemple BTP (fictif),Algerie,BTP,18,beta,beta existant,chaud,Paie manuelle et erreurs de presence,8h,demo faite,2026-04-25,2026-04-28,WhatsApp,,"Starter 29 EUR/mois",forte,a demander,DONNEES FICTIVES (#7982) - illustre un beta engage
Contact Fictif 2,Exemple Pharma (fictif),Maroc,Pharmacie,12,beta,beta existant,chaud,Suivi des absences eparpille,5h,offre envoyee,2026-04-25,2026-04-27,WhatsApp,"Doit valider avec associe","Starter 29 EUR/mois",forte,a demander,DONNEES FICTIVES (#7982) - offre en attente de validation
Contact Fictif 3,Exemple Clinique (fictif),Tunisie,Clinique,24,beta,beta existant,tiede,Onboarding incomplet,4h,contacte,2026-04-25,2026-04-29,appel,"Pas eu le temps de configurer",,moyenne,non,DONNEES FICTIVES (#7982) - proposer aide setup 10 min
Contact Fictif 4,Exemple Transport (fictif),Algerie,Transport,30,beta,beta existant,froid,Peu d'usage reel,2h,a relancer plus tard,2026-04-25,2026-05-10,WhatsApp,"Priorite faible actuellement",,faible,non,DONNEES FICTIVES (#7982) - ne pas surinvestir
Contact Fictif 5,Exemple Restauration (fictif),Maroc,Restauration,16,prospect,LinkedIn,n/a,Paie et presences gerees entre Excel et WhatsApp,6h,a repondu,2026-04-25,2026-04-27,LinkedIn,,"Demo a proposer",moyenne,non,DONNEES FICTIVES (#7982) - fit PME 10-30 employes
Contact Fictif 6,Exemple Commerce (fictif),Tunisie,Commerce,22,prospect,LinkedIn,n/a,Retards et absences mal suivis,7h,demo proposee,2026-04-25,2026-04-28,LinkedIn,,"Demo 15 min",moyenne,non,DONNEES FICTIVES (#7982) - angle gain de controle
Contact Fictif 7,Exemple Cabinet Comptable A (fictif),Algerie,Comptabilite,40,partenaire comptable,email,n/a,Collecte manuelle des donnees de paie,10h,contacte,2026-04-25,2026-04-30,email,,"Proposition partenaire",moyenne,non,DONNEES FICTIVES (#7982) - angle gain de temps cabinet
Contact Fictif 8,Exemple Cabinet Comptable B (fictif),Maroc,Comptabilite,25,partenaire comptable,LinkedIn,n/a,Difficulte a centraliser les donnees clients,9h,demo proposee,2026-04-25,2026-04-29,LinkedIn,,"Proposition partenaire",forte,non,DONNEES FICTIVES (#7982) - potentiel multi-clients
Contact Fictif 9,Exemple Services (fictif),Algerie,Services,14,client payant,beta existant,chaud,Erreur recurrente de paie avant usage,8h,paye,2026-04-25,2026-05-02,WhatsApp,,"Annuel a proposer",forte,a demander,DONNEES FICTIVES (#7982) - cas client a transformer en temoignage
Contact Fictif 10,Exemple Sante (fictif),Maroc,Sante,28,prospect,referral,n/a,Manque de visibilite sur presences,6h,essai en cours,2026-04-25,2026-04-26,WhatsApp,,"Offre apres essai",forte,non,DONNEES FICTIVES (#7982) - lead chaud via recommandation
